GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
475,1NIG,64258,07/01/1997,1997,1,Remote violence,Unidentified Armed Group (Nigeria),,3,Military Forces of Nigeria (1993-1999),,1,13,Nigeria,Lagos,Lagos Island,,Lagos,6.45306,3.39583,1,Agence France Presse,A blast believed to have been caused by a bomb killed one soldier ( a second died later) and wounded 29 others traveling on a military bus near the Abate Military Barracks in Lagos,2
475,2NIG,64259,08/01/1997,1997,2,Battle-No change of territory,Ekori Ethnic Militia (Nigeria),,4,Ekori Ethnic Militia (Nigeria),,4,44,Nigeria,Cross River,Yakurr,,Ugep,5.80860,8.08120,2,Agence France Presse,At least 20 people including a police sergeant killed in a dispute between rivals in the Ekori community seeking a traditional title,1
475,3NIG,64260,09/01/1997,1997,1,Battle-No change of territory,Ekori Ethnic Militia (Nigeria),,4,Ekori Ethnic Militia (Nigeria),,4,44,Nigeria,Kogi,Lokoja,,Lokoja,7.80236,6.74301,3,Agence France Presse,three people were killed in a revenge attack during communal clashes on Thursday - related to a dispute between rivals over a traditional Ekori title,3
475,4NIG,64261,10/01/1997,1997,1,Battle-No change of territory,Ijaw Ethnic Militia (Nigeria),,4,Military Forces of Nigeria (1993-1999),,1,14,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.83333,6.00000,2,Reuters News,The body of one of four soldiers gone missing while trying to quell the violence by the Ijaw militias was found.,1
475,5NIG,64262,10/01/1997,1997,1,Battle-No change of territory,Ijaw Ethnic Militia (Nigeria),,4,Military Forces of Nigeria (1993-1999),,1,14,Nigeria,Delta,Warri South,,Warri,5.51667,5.75000,1,Reuters News,Three are killed in a battle between militant Ijaw youths and the military during a shootout.,3
475,6NIG,64263,11/01/1997,1997,2,Violence against civilians,Military Forces of Nigeria (1993-1999),,1,Civilians (Nigeria),,7,17,Nigeria,Federal Capital Territory,Abuja Municipality,,Abuja,9.08333,7.53333,1,Associated Press Worldstream,"two doctors and four nurses were beaten to a state of unconsciousness over the weekend by members of the State Security Service, said the National Association of Resident Doctors of Nigeria",0
475,7NIG,64264,12/01/1997,1997,1,Remote violence,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Nigeria,Lagos,Lagos Island,,Lagos,6.45306,3.39583,1,Reuters News,Four performersy are injured when a bomb explodes in Lagos.,0
475,8NIG,64265,14/01/1997,1997,1,Violence against civilians,Military Forces of Nigeria (1993-1999),,1,Civilians (Nigeria),NADECO: National Democratic Coalition Militia,7,17,Nigeria,Lagos,Lagos Island,,Lagos,6.45306,3.39583,1,Associated Press Worldstream,"six shots were fired at Abraham Adesanya, the deputy chairman of the largest opposition coalition as he drove through the heart of the business district in Lagos, he suffered minor injuries. Opposition leaders have been targetted by the military regime.",0
475,9NIG,64266,15/01/1997,1997,2,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Sokoto,Sokoto North,,Sokoto,13.04803,5.21429,1,The Week,thousands of Gummi local government indigenes stormed the of Sokoto State House to protest a proposal that Gummi LGA be excised from Sokoto State and merged with Zamfara,0
475,10NIG,64267,18/01/1997,1997,2,Riots/Protests,Rioters (Nigeria),Students (Nigeria),5,,,0,50,Nigeria,Enugu,Enugu East,,Enugu,6.44258,7.50220,1,Xinhua News,"students riot over school fees at the University of Nigeria, enugu campus",0
475,11NIG,64268,18/01/1997,1997,2,Riots/Protests,Rioters (Nigeria),Students (Nigeria),5,,,0,50,Nigeria,Enugu,Nsukka,,Nsukka,6.85610,7.39270,1,Xinhua News,"students riot over school fees at the University of Nigeria, nsukka campus",0
475,12NIG,64269,18/01/1997,1997,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),UNCP: United Nigeria Congress Party,7,37,Nigeria,Ogun,Remo North,,Isara,6.99281,3.68185,2,The Guardian,"Bode Olajumoke, opposition party leader and his associates attacked, robbed, by four gunmen and would-be kidnappers north of Lagos, after a spate of attacks on opposition politicians in Nigeria.",0
475,13NIG,64270,25/01/1997,1997,1,Strategic development,Unidentified Armed Group (Nigeria),,3,,,0,30,Nigeria,Edo,Oredo,,Benin City,6.33505,5.62749,1,This Day (Nigeria),A group set fire to a telephone exchange.,0
475,14NIG,64271,29/01/1997,1997,1,Riots/Protests,Rioters (Nigeria),Students (Nigeria),5,Rioters (Nigeria),Students (Nigeria),5,55,Nigeria,Edo,Oredo,,Benin City,6.33505,5.62749,1,Associated Press Worldstream,"An officer of the student union was knived to death when fighting broke out amongst two groups of students, one group of about 3,000 students had gathered to protest alleged changes to tuition fees",1
475,15NIG,64272,04/02/1997,1997,1,Battle-No change of territory,Ijaw Ethnic Militia (Nigeria),,4,Urhobo Ethnic Militia (Nigeria),,4,44,Nigeria,Delta,Warri South,,Warri,5.51667,5.75000,1,Daily Times,Nineteen are killed in a land dispute in Warri.,19
475,16NIG,64273,07/02/1997,1997,1,Riots/Protests,Rioters (Nigeria),Shiite Muslim Group (Nigeria),5,Police Forces of Nigeria (1993-1999),,1,15,Nigeria,Kano,Kano Municipal,,Kano,12.00012,8.51672,1,Associated Press Worldstream; PanAfrican News Agency,"Riots broke out at a prayer meeting to mark the end of Ramadan. Police opened fire to control a crowd of 400 Shiite Muslims, after marchers attacked them with stones and other weapons . Witnesses reported five deaths, police reported only one. The Shiites were reported by some sources to be protesting the military government. Another report said the Shiites were confronted by other Muslims after hoisting their flag at the Central Mosque.",1
475,17NIG,64274,08/02/1997,1997,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Nigeria,Delta,Oshimili South,,Asaba,6.20064,6.73385,3,Daily Times,Armed robbers attack church in Nigerias southern Delta State. No other information provided.,0
475,18NIG,64275,10/02/1997,1997,1,Battle-No change of territory,Ijaw Ethnic Militia (Nigeria),,4,Military Forces of Nigeria (1993-1999),,1,14,Nigeria,Bayelsa,Nembe,,Ijaw,4.47472,6.26306,1,Reuters News,One Ijaw dead and 58 arrested when Nigerian armed forces storm their village in retaliation for the kidnapping of their personnel.,1
475,19NIG,64276,10/02/1997,1997,1,Battle-No change of territory,Campus Cult Militia,,3,Campus Cult Militia,,3,33,Nigeria,Lagos,Ojo,,Ojo,6.45382,3.20585,1,Agence France Presse,Two students died and several were injured when the followers of two campus cults clashed at Lagos State University,2
475,20NIG,64277,10/02/1997,1997,1,Violence against civilians,Military Forces of Nigeria (1993-1999),,1,Civilians (Nigeria),,7,17,Nigeria,Bayelsa,Ekeremor,,Ekeremor,5.05563,5.78006,1,Daily Times,One dead following an attack by the military on a Delta town.,1
475,21NIG,64278,12/02/1997,1997,1,Remote violence,Unidentified Armed Group (Nigeria),,3,Military Forces of Nigeria (1993-1999),,1,13,Nigeria,Lagos,Lagos Island,,Lagos,6.45306,3.39583,1,PanAfrican News Agency,"A bomb exploded as a military bus passed, seven were injured",0
475,22NIG,64279,14/02/1997,1997,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (International),,7,37,Nigeria,Lagos,Lagos Island,,Lagos,6.45306,3.39583,1,Reuters News,A French oil engineer was shot and killed by gunmen.,1
475,23NIG,64280,16/02/1997,1997,1,Violence against civilians,Police Forces of Nigeria (1993-1999),,1,Civilians (Nigeria),,7,17,Nigeria,Ogun,Ijebu ode,,Ijebu-Ode,6.81609,3.91588,1,The Guardian,A police officer kills one and injured three others when a bus driver refused to pay a bribe at a road checkpoint.,1
475,24NIG,64281,16/02/1997,1997,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Nigeria,Lagos,Lagos Island,,Lagos,6.45306,3.39583,1,Sunday Concord,Gunmen kill a Logos based businessman in his home.,1
475,25NIG,64282,18/02/1997,1997,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Nigeria,Delta,Aniocha South,,Ogwashi-Uku,6.17818,6.52429,1,Reuters News,A Catholic priest was shot dead in his home by unknown men.,1
475,26NIG,64283,21/02/1997,1997,1,Riots/Protests,Rioters (Nigeria),Christian Group (Nigeria),5,Rioters (Nigeria),Christian Group (Nigeria),5,55,Nigeria,Cross River,Calabar Municipal,,Calabar,4.96667,8.33333,1,The Guardian,Clashes between two Christian religious groups paralyze business in southeastern Calabar town.,0
